cluster,raised,goal,donors,length,shares
18,3875,20000,39,10,192
8,3870,10000,35,5,245
4,3870,10000,13,2,70
12,3969,50000,74,10,542
6,3865,30000,43,5,729
1,3925,30000,45,12,651
8,3825,25000,41,1,218
4,3825,25000,34,2,177
12,3785,15000,36,3,71
1,3775,15000,26,2,175
8,3705,50000,19,4,180
19,3695,10000,31,3,54
12,3686,10000,24,3,156
1,3685,75000,32,3,134
15,3683,3000,55,1,1.0k
9,3670,5000,48,1,245
10,3670,10000,51,3,308
8,3670,25000,41,1,287
8,3670,8000,27,2,80
9,3660,10000,49,2,831
10,3670,10000,51,3,308
8,3670,25000,41,1,287
8,3670,8000,27,2,80
9,3660,10000,49,2,831
8,3633,12000,54,2,289
8,3630,30000,74,3,492
3,3620,10000,47,5,330
15,3620,15000,28,4,68
8,3610,10000,57,6,782
1,3610,4000,41,4,102
3,3620,10000,47,5,330
15,3620,15000,28,4,68
8,3610,10000,57,6,782
1,3610,4000,41,4,102
12,3615,7777,56,4,921
2,3600,17000,30,3,85
17,3596,4000,56,4,178
17,3592,13000,47,5,385
3,3590,5000,38,2,87
2,4985,10000,36,28,327
8,3578,20000,46,3,1.0k
