CaseTotalKPI,Classification,Country,Culture,ObjectName,ObjectNumber
Overall Collection,Ivories,,"India (Jammu and Kashmir, ancient kingdom of Kashmir)",Panel,1988.148.1
Overall Collection,Sculpture,,Tibet,Figure,1995.176
Mid-Point,Metalwork,,India (Bihar),Chalice,1979.509.2
Mid-Point,Metalwork,,Indonesia (Java),Bell,1987.142.246
Mid-Point,Metalwork,,Indonesia (Sulawesi),Ceremonial object,1993.525
Overall Collection,Paintings,,Tibet,Tangka,1989.18
Overall Collection,Paintings,,Thailand,Manuscript,1972.186
Overall Collection,Sculpture,,India,Mold and impression,"1987.142.383a, b"
Overall Collection,Sculpture,,Afghanistan,Relief fragment,31.82.5
Overall Collection,Sculpture,,"India (Jammu and Kashmir, ancient kingdom of Kashmir)",Bust,1993.175
Overall Collection,Sculpture,,Northeastern Thailand,Figure,1982.220.5
Overall Collection,Sculpture,,Indonesia (Java),Head,1987.142.233
Overall Collection,Sculpture,,Thailand (?),Headless figure,1995.569.3
Overall Collection,Sculpture,,Thailand or Cambodia,Group,1993.387.9a_d
Overall Collection,Sculpture,,Tibet,Statuette,24.174.5
Overall Collection,Sculpture,,Indonesia (Kalimantan),Fragment,1995.257.14
Overall Collection,Ceramics,,China,Figure,1997.1.4
Mid-Point,Metalwork,,Japan,Kettle lid,25.215.34
Overall Collection,Sculpture,,China,Water well,1997.268
Overall Collection,Costumes-Embroidered,,China,Collar,1997.256
Overall Collection,Paintings,,Korea or possibly Japan,Hanging scroll (one of a pair),12.123.1
Overall Collection,Paintings,,China,Fan mounted as an album leaf,1989.363.25
Overall Collection,Lacquer,,Korea,Tray,2015.500.3.9
Overall Collection,Lacquer,,Japan (Ry_ky_ Islands),Seal box,"2015.500.2.2a, b"
Overall Collection,Cloisonn_,,China,Parakeet,29.110.44
Overall Collection,Enamels,,China,Dish,24.80.382
Overall Collection,Enamels,,China,Buckle,24.80.459
Overall Collection,Snuff Bottles,,China,Snuff bottle with stopper,"02.18.545a, b"
Overall Collection,Snuff Bottles,,China,Snuff bottle with stopper,"02.18.987a, b"
Overall Collection,Paintings,,China,Album,1989.372a_h
Overall Collection,Snuff Bottles,,China,Snuff bottle,29.149.95
